id,lat1,lon1,lat2,lon2,lat_center,lon_center,score_prix,score_hopitaux,score_practicien,score_metro,score_parking,score_final
330,45.702757,4.879455,45.705757,4.883955,45.704257,4.881705,0.6288170824319144,0,0.0,0.0,0.0,0.27667951627004234
331,45.702757,4.883955,45.705757,4.888455,45.704257,4.886205,0.4237907473452909,0,0.0,0.0,0.0,0.18646792883192798
333,45.702757,4.892955000000001,45.705757,4.897455000000001,45.704257,4.895205000000001,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
334,45.702757,4.897455,45.705757,4.901955,45.704257,4.899705,0.34357681677311963,0,0.0,0.0,0.0,0.15117379938017264
338,45.702757,4.915455000000001,45.705757,4.919955000000001,45.704257,4.917705000000001,0.6361828178386729,0,0.0,0.0,0.0,0.2799204398490161
339,45.702757,4.919955,45.705757,4.924455,45.704257,4.922205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
340,45.702757,4.924455,45.705757,4.928955,45.704257,4.926705,0.30945370617469287,0,0.0,0.0,0.0,0.13615963071686488
341,45.702757,4.928955,45.705757,4.933455,45.704257,4.931205,0.2667411617609047,0,0.0,0.0,0.0,0.11736611117479806
342,45.702757,4.933455,45.705757,4.9379550000000005,45.704257,4.9357050000000005,0.4239895246682831,0,0.0,0.0,0.0,0.18655539085404457
343,45.702757,4.9379550000000005,45.705757,4.942455000000001,45.704257,4.940205000000001,0.49394207228729514,0,0.0,0.0,0.0,0.21733451180640986
344,45.702757,4.942455000000001,45.705757,4.946955000000001,45.704257,4.944705000000001,0.35171495676989123,0,0.0,0.0,0.0,0.15475458097875214
345,45.702757,4.946955,45.705757,4.951455,45.704257,4.949205,0.21959002262445348,0,0.0,0.0,0.0,0.09661960995475953
346,45.702757,4.951455,45.705757,4.955955,45.704257,4.953705,0.39831062451089316,0,0.0,0.0,0.0,0.17525667478479298
351,45.702757,4.973955,45.705757,4.978455,45.704257,4.976205,0.281707608564312,0,0.0,0.0,0.0,0.12395134776829728
352,45.702757,4.978455,45.705757,4.9829550000000005,45.704257,4.980705,0.4717763037089674,0,0.0,0.0,0.0,0.20758157363194565
360,45.705757,4.744455,45.708757,4.7489550000000005,45.707257,4.746705,0.5486024938078117,0,0.0,0.0,0.0,0.24138509727543714
