valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
375590.00,69700,Beauvallon,Maison,93.00,827.00,4.7288980,45.6062780,4038.6021505376343
588970.00,69360,Ternay,Maison,129.00,174.00,4.8165800,45.6063550,4565.658914728682
320000.00,69360,Communay,Maison,87.00,820.00,4.8416220,45.6065750,3678.1609195402298
190000.00,69520,Grigny,Maison,67.00,409.00,4.7790600,45.6065990,2835.820895522388
107000.00,69360,Communay,Maison,38.00,33.00,4.8329300,45.6066630,2815.7894736842104
167580.00,69520,Grigny,Maison,100.00,271.00,4.7942570,45.6068850,1675.8
224000.00,69520,Grigny,Appartement,88.00,,4.7898680,45.6068900,2545.4545454545455
393000.00,69700,Beauvallon,Maison,137.00,500.00,4.7336570,45.6069480,2868.6131386861316
472750.00,69700,Beauvallon,Maison,109.00,586.00,4.7341120,45.6069660,4337.155963302752
338250.00,69360,Communay,Maison,75.00,384.00,4.8298710,45.6070590,4510.0
279100.00,69360,Communay,Maison,86.00,,4.8348010,45.6070780,3245.3488372093025
202750.00,69520,Grigny,Maison,74.00,177.00,4.7908650,45.6071240,2739.864864864865
242000.00,69700,Beauvallon,Appartement,73.00,,4.7281660,45.6071580,3315.068493150685
444520.00,69700,Beauvallon,Maison,125.00,474.00,4.7292230,45.6071960,3556.16
379100.00,69700,Beauvallon,Maison,85.00,400.00,4.7316850,45.6073340,4460.0
155000.00,69520,Grigny,Appartement,86.00,,4.7822400,45.6073880,1802.3255813953488
277500.00,69360,Communay,Maison,66.00,64.00,4.8334320,45.6074620,4204.545454545455
340000.00,69360,Communay,Maison,98.00,347.00,4.8376910,45.6075700,3469.387755102041
725794.06,69360,Ternay,Maison,110.00,690.00,4.8089980,45.6076610,6598.127818181819
320000.00,69520,Grigny,Maison,65.00,245.00,4.7909350,45.6077110,4923.076923076923
150000.00,69440,Sainte-Catherine,Maison,100.00,1320.00,4.5649090,45.6080520,1500.0
308000.00,69360,Ternay,Maison,99.00,576.00,4.8100620,45.6081700,3111.1111111111113
129900.00,69520,Grigny,Maison,120.00,52.00,4.7912790,45.6081830,1082.5
433200.00,69360,Communay,Maison,81.00,628.00,4.8345820,45.6081940,5348.148148148148
97000.00,69520,Grigny,Appartement,54.00,,4.7924410,45.6082190,1796.2962962962963
655000.00,69360,Communay,Maison,180.00,1032.00,4.8349990,45.6082970,3638.8888888888887
360000.00,69440,Mornant,Maison,140.00,316.00,4.6802300,45.6084740,2571.4285714285716
330680.00,69520,Grigny,Maison,100.00,844.00,4.7952570,45.6085730,3306.8
140000.00,69590,Coise,Maison,50.00,144.00,4.4818550,45.6087150,2800.0
123800.00,69520,Grigny,Maison,76.00,45.00,4.7949290,45.6088420,1628.9473684210527
225000.00,69440,Mornant,Appartement,105.00,430.00,4.6950900,45.6089200,2142.8571428571427
500000.00,69700,Beauvallon,Maison,150.00,,4.7334360,45.6090080,3333.3333333333335
22000.00,69520,Grigny,Appartement,50.00,,4.7930210,45.6091890,440.0
225000.00,69520,Grigny,Maison,92.00,376.00,4.7736110,45.6092150,2445.6521739130435
629000.00,69360,Communay,Maison,124.00,780.00,4.8381110,45.6094550,5072.580645161291
262000.00,69360,Ternay,Maison,80.00,140.00,4.8100540,45.6095540,3275.0
356050.00,69520,Grigny,Maison,116.00,241.00,4.7819940,45.6096290,3069.396551724138
60000.00,69520,Grigny,Appartement,45.00,,4.7924210,45.6099910,1333.3333333333333
130391.00,69520,Grigny,Appartement,67.00,,4.7943550,45.6101140,1946.134328358209
335000.00,69520,Grigny,Maison,86.00,485.00,4.7819270,45.6101910,3895.3488372093025
257000.00,69520,Grigny,Maison,103.00,120.00,4.7895880,45.6102490,2495.145631067961
380000.00,69440,Mornant,Maison,179.00,,4.6795440,45.6102980,2122.905027932961
96000.00,69520,Grigny,Maison,75.00,90.00,4.7922290,45.6103060,1280.0
220000.00,69520,Grigny,Maison,63.00,84.00,4.7939420,45.6103230,3492.063492063492
171000.00,69520,Grigny,Maison,98.00,44.00,4.7919050,45.6104320,1744.8979591836735
244668.00,69440,Chabanière,Maison,110.00,330.00,4.6122800,45.6105640,2224.2545454545457
310000.00,69700,Montagny,Maison,73.00,497.00,4.7717470,45.6106830,4246.575342465753
289500.00,69520,Grigny,Maison,110.00,462.00,4.7851210,45.6107660,2631.818181818182
434100.00,69520,Grigny,Maison,150.00,418.00,4.7840120,45.6109120,2894.0
435000.00,69440,Mornant,Maison,115.00,850.00,4.6807110,45.6109560,3782.608695652174
198000.00,69520,Grigny,Maison,105.00,107.00,4.7959110,45.6111890,1885.7142857142858
304550.00,69360,Ternay,Maison,111.00,409.00,4.8087610,45.6114270,2743.6936936936936
124000.00,69360,Ternay,Maison,101.00,75.00,4.8095840,45.6114270,1227.7227722772277
336000.00,69520,Grigny,Maison,113.00,663.00,4.7984780,45.6115540,2973.451327433628
92800.00,69520,Grigny,Appartement,60.00,,4.7843730,45.6116360,1546.6666666666667
349100.00,69520,Grigny,Maison,149.00,518.00,4.7746520,45.6117150,2342.953020134228
180000.00,69700,Montagny,Maison,47.00,,4.7714850,45.6117160,3829.7872340425533
275000.00,69520,Grigny,Maison,84.00,564.00,4.7970300,45.6117190,3273.809523809524
275000.00,69440,Mornant,Maison,64.00,711.00,4.6801110,45.6121270,4296.875
170000.00,69360,Ternay,Maison,64.00,538.00,4.8099310,45.6124270,2656.25
398000.00,69520,Grigny,Maison,104.00,551.00,4.7751460,45.6125200,3826.923076923077
320000.00,69520,Grigny,Maison,80.00,95.00,4.7788190,45.6125580,4000.0
259000.00,69440,Mornant,Maison,74.00,340.00,4.6643740,45.6125750,3500.0
247100.00,69520,Grigny,Maison,89.00,682.00,4.7970730,45.6126060,2776.4044943820227
163490.00,69520,Grigny,Appartement,71.00,,4.7754920,45.6127080,2302.676056338028
373000.00,69520,Grigny,Maison,117.00,538.00,4.7758500,45.6127510,3188.034188034188
330000.00,69520,Grigny,Maison,114.00,901.00,4.7818220,45.6128090,2894.7368421052633
293470.00,69520,Grigny,Maison,141.00,175.00,4.7753800,45.6128220,2081.3475177304963
532100.00,69520,Grigny,Maison,109.00,295.00,4.7830840,45.6129240,4881.651376146789
434500.00,69360,Communay,Maison,103.00,359.00,4.8354150,45.6130950,4218.446601941748
508420.00,69520,Grigny,Maison,183.00,1000.00,4.7769520,45.6131660,2778.251366120219
388750.00,69520,Grigny,Maison,117.00,752.00,4.7911580,45.6132160,3322.6495726495727
